,Rating,Date,Review
467,3,"Feb 13, 2009","BART,Please contact Billy Mays for a large purchase of Oxy Clean, immediately.  Some of your seats are repulsive and a mystery stain follow me home.Please, I beg of you, call Billy."
468,1,"Jun 9, 2009","OK, so BART gets me from A to B. If there wasn't BART we would be stuck paying toll and in hours of traffic trying to cross into San Francisco. However, can BART get its act together and clean up a bit??? I have seen bugs, smelled piss, body odor, and bad breath among other things. When I first started commuting into San Francisco I kept getting sick. When I narrowed it down BART was the culprit. Tip: Bring hand sanitizer with you when you ride BART so that you can at least sanitize your hands after a ride.  At least wash your hands directly after a trip to stop the spread of germs. I believe that BART should not have carpet or cloth seats. Cloth seats and carpet are ludicrous. They are absolutely filthy, gunky and germ infested. I think linoleum floor and plastic seats would be a good idea so that they can be hosed down on a daily basis. Oh and people do NOT follow the no-eating rules -food bits and stains all over the place. In general there are a few dirt-bag BART riders that ruin it for us all. Additionally, many people blare their stupid music super loud or talk on their cell phones with the volume up so damn loud that you can hear the other person on the line. BART can you please regulate the people going from train to train asking for money? Rude BART riders can you please let old men and women and pregnant ladies have a damn seat? GOSH! I have to ride BART to get to and from work. If there was another convenient option I would absolutely take it!"
469,1,"Sep 9, 2010","Thanks to BART I have developed:anger problemspre-hypertension high blood pressurebaldingwrinklesloss of excitement for lifeulcersswine fluchlamydiayes, BART is so filthy that it gave me chlamydiaBART also doesn't make sense, being one of the most expensive public transportation systems in the US, but with the efficiency of a blind goldfish, with no fins.BART, I hate you"
470,1,"Feb 18, 2011","You can say that it is better than NYC, but it still sucks. Too few trains, too few cars, and too many idiots running the show. I had a 2 hr delay because of ""equipment trouble"". And after service resumed, they ran four trains in a row going to the same destination (the 2-4th trains were empty of course) while everyone waiting to go anywhere else had to wait for over 30min more to have one of their trains arrive. I guess that once service resumed, the operators were so relieved that they stopped doing their jobs. They should be fired and so should their managers for having their heads up their asses.Can I get a 'no' vote on their next budget request that just will line the pockets of these incompetent public servants and their union lawyers?You suck BART!!!"
471,4,"Apr 14, 2011","I love BART.It's ALWAYS on time (unlike caltrain)... and it's reasonably cheap. It's very easy to understand how the schedule and routes work... You can take Bart around the city all the way down to Milbrae, where Caltrain takes it from there if you continue heading south, and it also can bring you to SFO, Richmond, Berkeley, Concord, Oakland, Fremont, and so forth. Beats traffic anytime!In reality, BART is pretty gross. It's quite efficient with getting you to Point A to B or even to C, but there are stains on the seats from god knows what... I don't get why they even bothered putting in FABRIC seating in a mass public transit that I'm sure millions of people use? Not very thoughtful if you ask me. I don't get why they can't just replace it soon because it needs it (or at least plastic coverings?). Other than the nasty facts, its pretty comfortable if you don't think of it too much. Just go home and take a nice hot shower and scrub your booty clean because you know those seats are NASTY.Safety? I've never had trouble on BART.. Seems safe!. I could say something ABOUT MUNI'S SAFETY... But this is my review for BART and BART only. =PI tend to fall asleep in BART because of the ""oOooOooHHhoOOOHHHHHHWoooooooooooOoooo"" sounds it makes when running. Hahaha, yes it's strange how it comforts me after a long day of work. Does anyone else get sleepy from this too? Is it just me?"
472,1,"May 13, 2019","I took Bart yesterday from Dublin to Powell and back. We had to transfer at 12th st due to maintenance.  Th 12th  Street station was filthy with urine. There was an an angry ranting person on the platform  at Powell. There was another angry ranting person on the platform at twelfth coming back. There were seriously shady characters on the train. I would never let my 20 year old beautiful daughter take that train alone on a weekend late afternoon. She would be in serious danger. I will avoid the weekends myself whenever I can. I used to love Bart, but not anymore."
475,4,"Jul 9, 2009","BART is like a secret lover.  It shows up on time, moves quickly and doesn't hesitate to leave when the business is done.  Sure it's dirty, loud and has been ridden a few times before, but that just adds to the excitement, doesn't it?An hour and a half of my workday is spent in the tunnels and elevated tracks of the BART system.  Without it, I am stuck on the roads, a slave to the pace and gridlock of the Bay freeways.  With it, I know exactly what time I will be where, and that gives me peace of mind.  I can read the paper, play Rolando, scribble Yelp reviews, sleep.  There are so many options.Pay no attention to the detractors, they are not BART locals, they are BART tourists.  This system is reliable, competitively priced and unequaled in California.  It is the only thing that allows me to live in San Francisco while maintaining a job in an East Bay suburban nightmare they call a city.  And anything that allows me to live in San Francisco is deserving of unlimited praise."
476,3,"Jun 19, 2014","BART, clean up your act!  Trim your upper management and hire cleaners who actually clean.  Enforce the animal, food/drink, and fare-evasion rules.  Too many animals on BART.  The two- and four-legged varieties.  No, that dog is NOT a service animal.  It's a pet.  And you can't bring those on BART.A pit bull took a dump on the escalator the other day at one of the downtown stations.  The owner acted as if nothing was happening and made no attempt to clean it up.Trash is constantly being thrown on platforms and on cars.  People dig into their KFC and throw the bones on the floor.  They wolf down a burrito and wipe their hands on the seats.  The leave their half-finished big gulp on the floor where eventually it falls over and soaks into the carpet.  A general layer of scum has accumulated on every surface.  The stations and cars need about triple the attention they're getting today."
477,4,"Apr 20, 2011","BART does a great job of getting people to and from their destinations, very nearly flawlessly.  And the price can't be beat, especially with gas headed toward $5 a gallon.One star deduction for the general unkempt condition of the cars.  I can still remember when BART had pristine carpeting and fresh seat covers in every car.  But back in those days, they enforced the ""no food or drink on BART"" rule.  Most of the mess on BART is due to customers throwing or dropping things on the floors and seats.  So a combination of better rule enforcement and better cleaning is in order.  For all the people who knock off stars because public transit was late, consider that all forms of transportation (including driving) are subject to delays.  If you get in a car and head off toward a bridge, you may very well encounter slowdowns or unforeseen traffic jams.  People jump in front of BART trains (they euphemistically call those ""Medical Emergencies"").  Think about it."
478,2,"Feb 7, 2009","The cars are too often dirty and stinky.  Every single train should have one cop on it.  Too often people on these trains are sketchy as hell.  The trains are often very loud and make weird noises.  Why can't we learn from Japan.  BART has spread out more over the years, which is nice.  But prices are high and they don't run late enough.  If they could just run the trains until 3am then all the people coming from the bars could ride the trains.  The stations are usually dirty and many of them don't have bathrooms.  I think BART should be open 24 hours a day and the trains improved.  This time let's do it right,  And take a power washer and wash out those stations for chrissakes."
479,3,"Jul 6, 2007",It's better than nothing.Thank you BART for letting me carve my name on your windows for all of those years with a drill bit.  Uh...just kidding?  lol
480,2,"Jul 14, 2013",BART is a necessary evil. It is the best way to get around to many locations but totally sucks. The trains are just filthy and all smell. The fabric on the seats have stains which all tell a nasty story. It is also not as dependable as I would have thought. And the strike...don't get me started.
481,1,"May 3, 2019","Come on guys, only 1 ticket machine working on the Oakland airport station.  Get your act together"
482,3,"Mar 4, 2015","I took Bart to avoid traffic going to warriors game from San Jose. Normally I don't use public transportation. It was nice not to have to drive, and I got on without wait the first time, but on the way back we timed it wrong and waited fifteen minutes to get on. There was a loud, screeching noise that echoed through the cars for almost the whole ride,, which made it very unpleasant. I haven't quite decided if the positives outweigh the negatives yet."
483,4,"Jan 20, 2010","BART has its drawbacks. Let's not kid ourselves:- outdated interiors- intense rail noise (especially in the trans-bay tube)- sometimes malodorous cars and/or unknown liquids spilled on the seats- an assortment of drunk, homeless, or mentally ill riders.- people who shriek on cell phones or play what passes as ""music"" from cell phone speakers at max volume.But that said, there are good points too.- It's way cheaper than driving (especially over long distances), and this savings is even greater if you buy your tix with commuter checks.- Though it's subject to delays and problems, the longest I've ever been held up is 20 minutes. Average delay is about 5 minutes. People who drive along 880 during commute hours only wish they had such minimal delays.- If you're going to SFO (especially flying internationally), it's your best ground transportation option.For people commuting to SF from the East Bay (or vice versa), it's an excellent alternative to driving: less pollution, less wear & tear on your car, and far lower costs.And now to kick a hornets nest:Isn't it ironic that Marin County, with all its self-proclaimed progressive, environmentally-conscious liberal residents, refused to have BART expanded there? Nah, driving solo across the GG bridge in a Ford Excursion is a much better alternative. Gotta love ECINO people (Environmentally-Conscious In Name Only). Their mouths are truly where their wallets are."
484,3,"Feb 28, 2017","BART Worked Reasonably WellWe needed to go from point A to point B, than back again.  It was pretty easy, and we were able to get where we needed go in a timely fashion.  Fortunately, we are pretty experienced when it comes to using mass transit, so we are able to roll with most challenges presented by each system.For people who do not use mass transit often, BART can be a bit challenging.  Getting through the stations is pretty straightforward.  Determining which train is the correct one, however, is not.  Making matters worse is the fact that the trains are not marked on the inside to let you know which train and/or route you're actually using!Now, you may say, ""The announcers let you know all that information.""  I cannot argue for or against that point, despite having heard the announcers at regular intervals.  What I did hear - and I quote - was, ""fwjenlkjf Iwru bkjhsJIOETP FBAmoa njpeahm;l,"" and other announcements that were equally impossible to understand.Bottom Line-If you know your way around mass transit, you'll be fine.If you are new to the experience, don't be afraid to ask staff for help.  They are both helpful and friendly."
485,1,"Aug 21, 2007","Dear Bart, I had the deplorable act of riding you last night. . . Its been a while and now i remember why i avoid you like the black plague. You stink, i don't know what sort of Midnight maintenence you do but it definately does not involve air freshners, and or febreze . Seriously I don't know how many people get on Bart and decide that peeing their pants is still the cool thing to do, but its more than apparent that it is still quite ""in""-Other notables, you are one of the more expensive rail systems i have been on, and for the price you are awarded with Standing room only in a cab of sardines... nothing better than being face to arm pit with the guy who just didn't get around to showering today... pleasant and worth every penny... let me tell ya. . . -You are deafening.. What?? huh?? I can see your lips moving but i can't hear you over the ear piercing scream of the tracks, when is that ever going to be fixed? You invoke everyone there to have to shout amongst themselves just to hold a conversation... yeah thats not annoying. - you have Bart cops who never seem to do anything.. i love the fact that the east bay trains dont run directly back to Sf so you are stuck on a richmond or pittsburg train with some of the more cracked out wanna be thugs in the bay... and what do they choose to do... walk up and down the bart trains back and forth, front to back, back to front, hooping, hollering, Singing, rapping, i dont know what the shit is but they are out of control... So the jist of it is, you are over priced, not accomidating, uncomforatable, loud, and unkempt by all levels of standards..you need a major face-lift my friend"
486,5,"Aug 31, 2009",I know it's expensive and it's teaming with weirdos and people that smell but you got me where I needed to be today on the double. Thanks!PS Remember that time there was a bag of rocks under the seat... only on BART
489,1,"Jan 24, 2006","I have almost pissed myself 3 times on the BART, and  last time I had to get off one stop early at Macarthur so i could run into the bushes. granted i may have an overactive bladder and i've been drinking a lot lately, but where the hell are the bathrooms? we're trying to live in a society here. ."
490,1,"Mar 31, 2007","[Update: I am currently living in Paris, France. I had to reduce my rating of BART to one star after my experience on the Paris Metro. (Yelp doesn't support the accent over the e, alas. ) Allow me to explain: In Paris a train comes to the station (one can be found within walking distance from anywhere) within 5 minutes, max (usually you will wait three minutes for the next train). It will cost you 1.5 Euros to get anywhere in Paris if you buy a ticket or you can buy a monthly pass for 53 Euros which gives you unlimited rides on the Metro and also gives you unlimited rides on the buses and the RER. Price goes down if you buy the yearly Navigo pass. People who work at the Metro stations are super nice and never have attitudes. (French) riders on the trains are nice, reserved and clean. The trains manage to go incredibly fast without ever creating a screeching noise so loud it almost makes your ears bleed. Also, people in France don't poop on the trains. And, even if they did, unlike on BART here is no rarely cleaned carpet to sop-up, collect and store all the blood, vomit, feces, urine etc. which constitute all those stains on the floor of the BART. I'm sure the carpet on BART was an attempt to find a material to absorb with painful screeching noise - a result of engineers with no knowledge of aerodynamic design.The metro system was built before 1920. The BART was built between 1964 and 1972 -- by then engineers had gotten us to the moon! and even with all the good examples of trains in the world BART planners still couldn't get it right!!!]  Original review: The Best Night Ever for BART was the night the new De Young Museum opened. There was also some bridge construction going on so the BART ran all night long. Even at 3:00 in the morning there were something like 10,000 people on the grounds of the De Young waiting to get in or just hanging out.Coming home to Berkeley at 4:30 in the morning the whole train was packed to the gills. There were hipsters and business people and drag queens and gang-looking kids and college students and distinguished looking seniors all crowded in together returning home from a night on the town. Suddenly the whole car broke out together in a rendition of some song -- I feel like it was Elton John or James Taylor -- something very 70s cheesy AM radio, and it was all so magical.The BART should run all night. I will never understand how this can be a ""World Class City"" when you cannot even stay out until 2am unless you have 40 bucks plus tip to get back across the bay in a hard-to-find taxi, or want to drive drunk. A friend of mine who is really into Railroad History recounted to me a story that the reason BART is such a money pit and cannot afford to (stay running at night, finish looping the bay, charge us compassionate fares, etc.)  is because when it was first designed (the business? the people? the government? I forget this essential fact!) wanted it to be designed so that it could never be annexed by (other?) businesses and used for hauling materials, so they designed the rails to non-standard size and designed cars that couldn't use standardized parts. So everytime something breaks down it has to be specially ordered and manufactured, unlike Caltrain. (sp?) -- If they had just used standardized train parts like NYC, etc. then they could afford to run and charge less. I am willing to believe this story is true until I am confronted with contrary evidence.UPDATE: Go read the Bay Area Rapid Transit page on the Wikipedia - there it outlines the whole story as to what I tried to say above.The Wiki also had this funny note:""Peter Hall, author of the book Great Planning Disasters, describes BART as one of the sensational planning disasters of the 20th century, alongside the Anglo-French Concorde and the Sydney Opera House."" -- ha!On a final downer note, TWO times I have seen coiled piles of actual human poop on the carpet of the BART. I don't know what they clean that carpet with but I hope it is CDC approved.It makes me want to have one of those CDC/Hot Zone/Nasa/Silkwood decontamination showers installed at the door to my house."
491,4,"Sep 2, 2007","I'm a big fan of public transportation and love the idea of BART a lot.  I ride BART everyday to and from work, and generally have few beefs about the service. However, while I'm at it...On my ride in, I pay my 25 cents and pick up a San Francisco Chronicle and keep tabs on the basic happenings in the news.Going home, and after a long day all I really want to do is relax (and occasionally write me a few Yelp reviews).  Thing is, there's this one driver whose SFO/Millbrae train I seem to get on about 2 times in 5, and he's a total GROUCH who screams into the public address at passengers about standing in the doorway.  If you've been on his train, you know what I'm talking about, and I must say it's a pretty awful way to end your day hearing him go ballistic on us paying passengers.  Someone needs to talk to this guy so that he can chill a little.OK, enough of a rant.  I'm actually typing this as he yells at me, so that's what's in my head as I type.  So, minus 1 star for the grouchy driver, but otherwise, go BART."
492,2,"Sep 7, 2007","Best of all of the bay area mass transits!If you like bums and urine, you're in luck!  There's more than enough for everyone!"
493,4,"Aug 18, 2006","I walk through the turnstyles into the Macarthur station, and there's this dude with a flaming pink shirt trying to leave the station. He puts his ticket through a bunch of times and the computer won't let him out.  So he starts talking with the attendant about the problem.  The argument was starting to get pretty heated, but thereafter I went upstairs to wait for my train.  Found out it 'twas about 19 minutes away, and I thought that argument would get quite interesting.  I headed back downstairs to observe. The guy is yelling back and forth at the BART lady about how it's bad Karma that she won't let him out of the station.  He still owed some cash on his ticket.  He's yelling at her saying that he's gotta pick up his wife who has a flat tire (he was obviously flambouyantly gay). She finally tells him that she's calling bart police and eventually a bunch of F and C words start driveling out his mouth.  Then he walks away in a huff with his hands on his hips and says ""...annnnnd you have BAD teeth!!!"". He goes to sit down and wait for I dunno what.  Eventually this 300lb thug lookin black dude is like ""hey man, you need a couple bucks, I can spot you"". Flambouyant guy comes over and is sayin ""Oh thank you thhhooooo much give me your card, and I'll mail you a check as soon as I get home"". Thug guy reaches for his wallet, and instead of pullin out a few singles, he smashes the guy in the face with his fist as hard as I've ever seen anyone get hit.  He's like ""yea, that's what chu get for flippin out in my BART station!""  Thug jumps over the turnstyles and hops out of the station. I'm already almost pissin my pants at this point because I'm such a pussy, cowering in the corner and calling 911.  I mean Flambouyant was annoying as hell and quite obviously in the wrong, but I thought he was gonna need to pick up some of his teeth off the ground after that hit. Have you ever called 911?  I got some nice elevator music and the ol ""thank you for your call, you are a valued customer, please wait 25 minutes while we sit here whackin off"".  About 26 minutes later I finally get an operator.  I tell her I just witnessed an assault at the BART station, and there was a guy there that was in serious need of help. Hang on while I dial bart police. More elevator music... At this point, I grab the next train, and the operator finally picks up just before I hit the tunnel into Oakland.  I'm tell her ""look, the emergency is prolly over, but it would be nice if they sent a cop over to Macarthur. Next BART story... I got some news from home and I was overcome with emotion. So I'm really on edge (usually my strongest emotion is hunger -- WHEN i'm not menstruating).  I hop on BART after a 12 hr day and head home.  This skinny urkel lookin guy hops on my train, and starts playing the bongos on the car door with his two pepsi bottles.  I put up with it for a few minutes, then he starts bangin through the aisles with the bottles.  I first glance at him with a ""fuck you"" face, then ask him ""HEY ARE YOU GONNA SHUT THE FUCK UP ANY TIME SOON?????"" He's stops dead in his tracks and says ""WHAT R YOU GONNA DO ABOUT IT"" and waves his hands at himself as if to tempt me to beat his ass. Walk up to him look him square in the eye, nose to nose, and I say ""NOTHING, JUST SIT THE FUCK DOWN AND STOP BOTHERING ALL THESE PEOPLE"".Then I cowered into the other train. GO BART, YOU ROCK!"
494,1,"Jul 11, 2006","BART, you have single handedly ruined my day.  As if it wasn't bad enough that you won't extend out to Pinole and I have to drive to El Cerrito and spend 10 minutes looking for parking so that I just barely miss the train to San Francisco, and then I have to wait another 15 minutes for the next train, THEN to add insult to injury, a train gets stuck in the Transbay Tunnel putting my train at a dead stop.  And what happens when it's 7:30am in the morning and you're sitting in a stationary train?  That's right, YOU FALL ASLEEP!  And then what happens?  YOU MISS YOUR STOP!!!!  Then, to add salt into your open wounds, the trains are backed up from the initial train stuck in the Transbay Tunnel and it takes another 20 minutes to go back to where you should have gotten off the train in the first place.  Gas rating: 5When I said everything gives me gas, that includes stress, and this event was super-unbelievably stressful to me.  All in all, it took me 2 hours to go 25 miles.  And upon arrival at work, you guessed it.   I had gas."
495,4,"May 28, 2009","Minus one billion stars for having cloth seats and flooring. What design genius thought it would be sanitary to use fabric?! The thought of those filthy, festering, swine-flu-infested seats is enough to drive any well-adjusted person into the first stages of OCD. Yes, that's me standing by the stainless steel pole on an almost empty train, germaphobia levels at orange alert. On the other hand, BART is generally reliable (on-time), easily accessible, and allows me to trek into the City without having to deal with traffic congestion, the toll, dumb asses who drive in the FastTrak lane who don't have FastTrak and hold everyone who does have FastTrak up while they merge into Cash Only lanes, and of course - exorbitant city parking fees. Plus, from the Rockridge station I actually get into downtown SF quicker than most people who live in SF themselves. So with all of that into consideration, add one billion and four stars."
496,2,"Jul 10, 2013","BART - Like most relationships, it is a Love/Hate.  Let's start with the loves...I don't have to drive in San Francisco. I am not stuck in traffic for 45-60 minutes on the freeway from Berkeley to home in Oakland during the weekdays.The Hates:Too Expensive, No accomodating train car for bikes & large luggage, but want to squeeze on more. Rude, rude, rude and useless station agents. Not ADA friendly, grundgy carpeting, filthy stations, over-compensated employees, lack of accountability with BART Administration.  Wasted space in most stations (consider small vendors, library outlets, meeting or annex classroom spaces,etc."
497,2,"Apr 17, 2006","Advise to the new rider: Don't make eye contact.Advise to the administrators: Don't change the software again.  Ever.Advise to ""actor/writer/artist/massage guy"": Don't try to talk to me again. Ever.  I DO NOT want a massage.Advise to ""cell phone guy in the bay tunnel"": We know you don't get service underwater.  Give up pretending you're having a conversation."
498,2,"Jun 7, 2007","Pro: Gets me to work in exactly 7 minutesCon: Smells like afterbirthPro: Gets you to El Cerrito or Oakland pretty quickly and for a reasonable cost (you know, assuming that I would ever visit one of those places. Are they near Berkly?)Con: People in most other cosmopolitan cities haven't even had lunch yet by the time BART shuts down for the nightPro: Cool acronymCon: Tickets stop working when removed from pH balanced vacuumVerdict: Better than a compound fracture, but worse than pinkeye"
501,4,"Nov 24, 2011","I'm knocking a star off for cleanliness.  They say they are steam cleaned annually and disinfected daily but I read this nasty article about how germy they are despite that. On the other hand, I've noticed more train cars are having vinyl seating instead of cloth so maybe they are working on that?ASIDE from all that, I have been on many different trains around the country and world.  In comparison, BART is by far the most comprehensive.  There is only one platform so all you have to do is figure out the correct side to go on.  They are very organized for events of all kinds and have longer trains available at these times.  The waiting time is so minimal that if you miss a train, you aren't screwed because of the frequency of trains (unless of course you are transferring to another train or maybe late for work).All in all, this is a very efficient way to travel and I am very grateful to live in a place that has a train system like this available.  I don't even want to think about all the money and time I would have wasted in my life by driving instead."
502,4,"Nov 26, 2012",Bart is the Best subway system every. I love Bart. I love how how many cities Bart goes to. I love how many Bart station there are in San Francisco. Bart you rock. But Bart needs to extend BART service to Livermore and Hercules. I thought the BART extension to Livermore would have already happen by now. Also I heard on the news some time ago that a Hercules a city council member or the mayor talked about wanting to extend BART service to Hercules. It never happened. BART needs to get it's future projects started because a lot of those future projects seem to be lies.
503,4,"Apr 8, 2012",Love this transit system. One thing I hate is that when people eat and drink on Bart trains. Breaking the no eating and drinking rule.
504,5,"Jan 15, 2008","Why on earth are you people reviewing BART? It's a public transport system. There is no alternative. Do you think if someone reads a bad review, they'll take the *other* subway system? Tips about avoiding panhandlers or weird station features would be useful, but most of these 'reviews' are just inane descriptions of reviewers personal feelings.If your review isn't useful to others, it's just clutter. Validating your own existence or deluding yourself into a false sense of importance are not good reasons to post something on Yelp. Those are reasons for using Twitter."
505,5,"Apr 30, 2019","I lost some items on a train.  I reported it to a station agent and they quickly determined which train I had been on and had someone on that train check to see if it was still there in a matter of 5-10  minutes.  Great service, thanks!"
506,3,"Nov 1, 2007","I don't have much of a problem with BART, it gets me where I need to go about 87.66% of the time, and that's good enough for me.  If I find that I can't ""deal"" with BART (too crowded/too stinky/too tired) on a given day, I certainly have the option of walking, taking a cab, or stealing a car.  So yeah,  I deal with it.  It's actually my other fellow riders that greatly influence my experience....here are a few of my favorites:1) Gumby - He gets on the last train at the 16th Street and Mission station and immediately starts stretching and dangling his 6'4"" frame from the bars within the train.  This dude always wears his ""warm-up"" gear and a sweatband.  He props his legs up, cracks his vertebrae, etc. and really gets into it.  It's distracting and for some strange reason pisses me off because secretly I wish I could play on the BART jungle gym too and not give a shit, okay?2) Make Up Diva - Gets on BART looking like Sarah, Plain and Tall...gets off looking like Ru Paul. Honey, it's one thing to powder your nose or apply a little lip gloss, but if you've busted out with your vanity table and you're ""tap/swirl/buffing"" (a la Bare Escentuals), it's really fucking tacky. Get up 15 minutes earlier. Or do what I do and keep some makeup at work.3) Left Standers - the fuckers (yes, they ARE fuckers!) who stand on the left side of the escalator when I'm pistoning down trying to catch my coveted and usually-not-crowded 24th Street train.  It's during these times that I really wish pushing people out of the way wasn't illegal.  Yeah, you better believe they get the stink eye and an ancient Chinese curse.4) The Ballers - these are the men (and occasionally women) who stand *really close* to you while you are *sitting in an aisle seat*, so that their groin is generally in the vicinity of your ear/cheek.   It's almost as if they're trying to rest their balls/bits on my shoulder.  I'm generally not a fan of having my face 6 inches away from a stranger's external reproductive organs (at least, not without my consent), so I usually just offer them my seat :)This is a mere sampling of what BART has to offer...no...it's not that bad...it could be waaaaaay worse (like MUNI!).------------------------------------Update 12/29/2007:5)  BARF.  I had no idea I was sitting next to it, until some dude who was going to sit next to me saw it, recoiled, and gave me a dirty look.   IT WASN'T MINE! fucking classic."
507,3,"Sep 16, 2011","You can tell a lot about a city by using their public transit system. In my travels I've noticed that the coolest, most livable and forward-thinking cities have excellent public transit, whereas in craptastic, redneck cities reliable public transportation is decidedly lacking.So where does that place San Francisco's BART system?Although overall I'd rate BART as being satisfactory, there are some aspects that make me want to sing its praises. First of all, I love how the fares are based on the total distance travelled. Unlike some cities that use a zone-based or a flat-fee system, BART allows passengers who are only going one or two stops to pay dirt-cheap fares. It just makes sense. Also, the vast area that BART covers allows commuters from far and wide to ditch their cars and get to their destination _fast_. It's the way of the future, people! Cars just AREN'T sustainable, so we may as well adjust now. But I digress...Why only three stars then? Well, firstly and most importantly, a BART station just doesn't seem like a place an average person would want to be once it gets dark. I'm normally a fairly self-sufficient and confident commuter, but when I was using BART in San Francisco I was convinced that someone would pull out a prison shank on me. The stations are just dark and sketchy. Also on the topic of stations, they didn't seem like they were being maintained properly. In a few cases the escalators weren't working, and I can't begin to tell you how infuriated I was struggling to haul a 75-pound bag up a long flight of stairs. I can't imagine how someone with physical disabilities would fare.Also, as someone who was a visitor in the city and not completely aware of exactly where I was based on sight, I found that the station names were inadequately marked. In most cities I've been in, subway/tube/u-bahn/skytrain station names are clearly marked and visible from the trains; stations are also loudly announced over the intercom systems so you know exactly how far you've travelled. On BART, I often struggled to find out if I was at my destination. In many stations, I saw no signs and although the operators would make announcements, the intercom was both a) muffled and b) drowned out by the screeching rails so I could barely make out a word. Fortunately for BART, this is a relatively quick and inexpensive fix.As a huge advocate of sustainable public transportation I applaud BART for giving Bay Area residents and visitors a reliable transportation system. Unfortunately, to continue to attract new riders and keep existing ones, there's a bit of work that needs to be done."
508,4,"Apr 20, 2006","Being accustomed to light rail in other metro areas NYC, London, Paris, Shatangi was expecting attendants to give me a blanket or serve me a cocktail. BART to SFO frakin rocks!! When there is an interruption, they immediately tell you what is happening and when you will be moving again so people don't freak out like on MUNI. I take one star back for the price. Last time I rode, there was this kid with his hood hella covering his face rapping something like ""Can't you see Lassie waggin that tail, sumpthin-sumpthin-sumpthin gonna burn in hay-le"" louder and louder. The car was in hysterics.Shatangi told you"
509,5,"Jul 25, 2009","As a person who's challenged when it comes to parking, BART is my go to mode of transport when visiting SF.  With BART I don't have to deal with traffic, tolls, accidents, $$$ for garages, or my most dreaded nemesis, parallel parking!  With BART, I pay and enjoy the ride. BART is my trusted friend: dependable, always around when I need them, usually on time, and willing to go anywhere with me.  I've taken BART for all sorts of reasons: whether it was going to the airport, checking out an A's game, going to a concert, meeting friends, for my many shopping trips to SF, and most importanly, when I don't feel like driving. Yes, BART can get expensive but it's SO convenient and you never have to worry about directions or getting lost.  I always say, if BART doesn't go there, it's not worth driving to unless someone else is driving you there."
510,5,"Jun 6, 2013","LET'S BART IT...!!!My all time Favorite SFO transportation. It takes us through out the pan handle of the bay and at least to different stations of some of the districts.The subway and trains aren't as garbage as New York's subways but the BART has it all baby! Not only that the BART takes you places...- It will always smells bad.- Homeless people crashing on the subway corridors. - Green yack inside the train with some embarrassed fool folding his arms and hiding his face because he just had enough Kamikaze shots. - When packed inside the train, lots of crotch rubbing and ass bumps on the shoulders from people standing near you. - As train go on a sudden stop, girls going to the clubs on the weekends with the high heels, tight short skirts, harder bumps on the shoulders happens!(Sigh) BART IT...!!!!"
511,5,"Jun 24, 2006",I am giving BART 5 stars because of the 3 Spare the Air days in a row. Bravo BART!! And rumor has it that there will be more in July and August.However as for the people who ride BART please don't go up and just start talking to random people. It's our quiet time.And when you are on the escalator stand to the right so you can let all us procrastinators run up the left side so when can get to work on time.And if you are going to eat something on BART just make sure is not fast food cause that smell like poop and it makes me want to vomit. And if you bring something good you should bring enough to share!
514,4,"Feb 8, 2007","BART= Bay Area Rapid TransitI would have called it...BART= Boring Ass Random Timing system...However with all corny jokes aside, this was a staple end of public transportation for me since I was a wee lad. To the city, back to the town, up to the 925, and down to Fremont; this system holds a place in my heart. I could recall all the times utilizing this for going to work in SF, to having random dates, to even the long journeys of transferring via Muni / AC Transit/ VTA  to BART to walking to ex-girlfriends' places etc.The schedule is decent, but needs to be extended because people who drink obsessively into the late hours of the morning. Know that they are prone to DUI exposure, therefore taking BART as an alternative wouldn't be that bad. Rush Hour is effective only between 8-10 am (Mon-Fri) if you have a job any later than that, then better be equipped with a book, magazine, or some kind of hand held device to keep you entertained. Sunday hours are off the wall and need to be adjusted, with the 30-45 min gaps of trains. They need to hurry up and pass the legislation to the expansion to San Jose, so I can avoid the ridiculous traffic on the infamous 880 and visit my friends in the South Bay with more convenience. Overall when I do return to the Bay Area, this is just one of the novelty things I'll always cherish despite all the bitching."
515,5,"May 8, 2007","Ya ya ya, BART has its flaws. -it could be easier to figure out if you are new to the system-it could be cheaper -it could be cleaner -they could run later -they could run to more areas-they could make the tickets NOT lose their value if you put them in your walletBUT I used it to commute for 5 months before I moved into the city and didn't have any major issues, just slight annoyances and really when I can nap to and from work and not worry about traffic, it is okay by me. I am from souther California and I can not wait for the day LA hops on the public transit train (pun intended). BART, you get 5 stars because:-you run regularly-you get me where I need to be-I don't have to pay for airport parking or taxi's,-you are cheaper then muni when traveling in the city-I can visit my friends in the East Bay and not have to worry about driving -you took my girlfriends and I from Pleasent Hill to Milbrae to go to my brothers football game and allowed us to sleep/passout from drinking on the way back. **THE MOST IMPORTANT***-you gave me a way to keep my whoops with an ex boyfriend from driving me all the way home and having the uncomfortable conversation about why we were not going to get back together! Instead I just had to endure a uncomfortable 5 minute car ride and was able to do the kiss and ""I'll call you"" dash!  THANK YOU!  5 stars!"
